Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
covid-19,3977,0,3192.15454,0.00000,3193.155
pandemic,2923,57902,2346.15747,3.75702,493.409
esf,592,14357,475.17111,0.93157,246.521
covid,298,6,239.19086,0.00039,240.097
vaccine,5603,293829,4497.26953,19.06534,224.181
coronavirus,348,3892,279.32355,0.25254,223.805
u003e,266,360,213.50594,0.02336,209.610
sars-cov-2,251,0,201.46613,0.00000,202.466
phemce,214,134,171.76793,0.00869,171.279
moderna,282,5266,226.34840,0.34169,169.449
wmu,275,4804,220.72983,0.31171,169.039
countermeasure,484,20728,388.48450,1.34495,166.095
influenza,1397,96561,1121.30750,6.26544,154.472
jurisdictional,394,18475,316.24564,1.19877,144.284
vaccination,1659,130419,1331.60291,8.46235,140.832
ohpip,172,5,138.05647,0.00032,139.011
vaccinate,616,40264,494.43481,2.61256,137.142
distancing,186,2743,149.29362,0.17798,127.586
moh,292,13094,234.37494,0.84962,127.256
icu,541,38058,434.23575,2.46943,125.449
u003c,154,72,123.60870,0.00467,124.029
cdph,162,1483,130.02994,0.09623,119.528
cdc,1137,104210,912.61743,6.76175,117.708
aspr,150,649,120.39809,0.04211,116.492
barda,157,1458,126.01666,0.09460,116.039
sindecuse,141,26,113.17420,0.00169,113.982
rislnet,139,0,111.56889,0.00000,112.569
pfizer-biontech,134,0,107.55562,0.00000,108.556
unvaccinated,168,4084,134.84586,0.26499,107.389
ppe,264,15999,211.90063,1.03811,104.460
hie,210,10987,168.55731,0.71290,98.988
serch,125,426,100.33173,0.02764,98.606
njdoh,122,264,97.92377,0.01713,97.258
hhs,382,35326,306.61380,2.29216,93.438
eua,138,3078,110.76624,0.19972,93.160
omicron,128,3570,102.73970,0.23164,84.229
null,731,96339,586.73999,6.25104,81.056
mohltc,99,214,79.46274,0.01389,79.361
hipaa,240,22666,192.63693,1.47070,78.373
pfizer,257,25591,206.28204,1.66049,77.911
preparedness,779,109642,625.26740,7.11421,77.182
materiel,149,8778,119.59543,0.56957,76.834
antiviral,225,21708,180.59712,1.40854,75.397
emerg,110,2910,88.29193,0.18882,75.110
mcm,193,17559,154.91220,1.13933,72.879
booster,471,66503,378.04999,4.31510,71.316
oha,110,3916,88.29193,0.25409,71.200
u003cli,87,0,69.83089,0.00000,70.831
ppcc,94,1545,75.44946,0.10025,69.484
immunocompromised,107,4140,85.88396,0.26863,68.487
njiis,78,32,62.60700,0.00208,63.475
infectious,896,161593,719.17792,10.48510,62.705
ndms,75,250,60.19904,0.01622,60.222
lincs,82,2063,65.81762,0.13386,58.929
crohn,157,18800,126.01666,1.21985,57.218
mrna,330,58679,264.87579,3.80744,55.305
pheoc,67,1,53.77781,0.00006,54.774
mcms,69,841,55.38312,0.05457,53.466
u003cbr,65,0,52.17250,0.00000,53.173
sns,115,11805,92.30520,0.76598,52.835
triage,158,23134,126.81931,1.50107,51.106
shspecialtylink,61,0,48.96189,0.00000,49.962
shsubspecialtylink,61,0,48.96189,0.00000,49.962
stockpile,231,42450,185.41306,2.75440,49.652
hcid,61,103,48.96189,0.00668,49.630
ems,323,66132,259.25720,4.29103,49.188
zika,62,986,49.76454,0.06398,47.712
shdoctorcorporatedesg,58,0,46.55392,0.00000,47.554
shdoctorclinicalinst,58,0,46.55392,0.00000,47.554
shdoctorclinicaldisplayorder,58,0,46.55392,0.00000,47.554
shdoctorclinicalinstlogo,58,0,46.55392,0.00000,47.554
shdoctorclinicaldepturl,58,0,46.55392,0.00000,47.554
shdoctorclinicalaltdesgtext,58,0,46.55392,0.00000,47.554
shdoctorclinapppageitemid,58,0,46.55392,0.00000,47.554
shdepartmentlink,58,0,46.55392,0.00000,47.554
shdoctorclnicapptsfurl,58,0,46.55392,0.00000,47.554
shdoctorclinicaldesg,58,0,46.55392,0.00000,47.554
shdoctorclinicaldeptlogo,58,0,46.55392,0.00000,47.554
ventilator,114,15357,91.50254,0.99645,46.333
ocga,57,226,45.75127,0.01466,46.076
hit-hie,56,2,44.94862,0.00013,45.943
dcfs,69,3697,55.38312,0.23988,45.475
radiological,161,28893,129.22728,1.87475,45.300
seoc,56,231,44.94862,0.01499,45.270
emergency,4407,1193234,3537.29565,77.42399,45.118
janssen,95,12466,76.25212,0.80887,42.707
